,x,y,x_std,y_std
0,1.0,44.668503,0.0,0.0
1,3.0,44.708733,0.0,0.0
2,5.0,44.993393,0.0,0.0
3,7.0,45.24171,0.0,0.0
4,9.0,45.49414,0.0,0.0
5,11.0,45.968044,0.0,0.0
6,13.0,46.32215,0.0,0.0
7,15.0,46.547688,0.0,0.0
8,17.0,46.822758,0.0,0.0
9,19.0,46.962154,0.0,0.0
10,21.0,47.0089,0.0,0.0
11,23.0,47.244778,0.0,0.0
12,25.0,47.58115,0.0,0.0
13,27.0,47.58115,0.0,0.0
14,29.0,47.92497,0.0,0.0
15,31.0,48.276554,0.0,0.0
16,33.0,48.481075,0.0,0.0
17,35.0,48.740536,0.0,0.0
18,37.0,48.951252,0.0,0.0
19,39.0,49.111164,0.0,0.0
20,41.0,49.381355,0.0,0.0
21,43.0,49.545723,0.0,0.0
22,45.0,49.711826,0.0,0.0
23,47.0,49.93605,0.0,0.0
24,49.0,50.22088,0.0,0.0
25,51.0,50.452488,0.0,0.0
26,53.0,50.62844,0.0,0.0
27,55.0,50.80637,0.0,0.0
28,57.0,51.04675,0.0,0.0
29,59.0,51.229443,0.0,0.0
30,61.0,51.41426,0.0,0.0
31,63.0,51.53867,0.0,0.0
32,65.0,52.175667,0.0,0.0
33,67.0,51.98189,0.0,0.0
34,69.0,52.110813,0.0,0.0
35,71.0,52.175667,0.0,0.0
36,73.0,52.371815,0.0,0.0
37,75.0,52.70414,0.0,0.0
38,77.0,52.70414,0.0,0.0
39,79.0,53.043488,0.0,0.0
40,81.0,53.112225,0.0,0.0
41,83.0,53.39013,0.0,0.0
42,85.0,53.5309,0.0,0.0
43,87.0,53.744377,0.0,0.0
44,89.0,53.96071,0.0,0.0
45,91.0,54.10656,0.0,0.0
46,93.0,54.327812,0.0,0.0
47,95.0,54.40224,0.0,0.0
48,97.0,54.703407,0.0,0.0
49,99.0,54.933006,0.0,0.0
50,101.0,55.08789,0.0,0.0
51,103.0,55.244255,0.0,0.0
52,105.0,55.40214,0.0,0.0
53,107.0,55.64186,0.0,0.0
54,109.0,55.80365,0.0,0.0
55,111.0,55.967064,0.0,0.0
56,113.0,56.21528,0.0,0.0
57,115.0,56.552185,0.0,0.0
58,117.0,56.552185,0.0,0.0
59,119.0,56.552185,0.0,0.0
60,121.0,57.33649,0.0,0.0
61,123.0,57.158943,0.0,0.0
62,125.0,57.33649,0.0,0.0
63,127.0,57.425995,0.0,0.0
64,129.0,57.60646,0.0,0.0
65,131.0,57.880924,0.0,0.0
66,133.0,58.066463,0.0,0.0
67,135.0,58.25411,0.0,0.0
68,137.0,58.63591,0.0,0.0
69,139.0,58.63591,0.0,0.0
70,141.0,58.63591,0.0,0.0
71,143.0,59.125877,0.0,0.0
72,145.0,59.02672,0.0,0.0
73,147.0,59.32599,0.0,0.0
74,149.0,59.426956,0.0,0.0
75,151.0,59.630753,0.0,0.0
76,153.0,59.83707,0.0,0.0
77,155.0,59.941196,0.0,0.0
78,157.0,60.15143,0.0,0.0
79,159.0,60.364338,0.0,0.0
80,161.0,60.47182,0.0,0.0
81,163.0,60.688892,0.0,0.0
82,165.0,60.798492,0.0,0.0
83,167.0,61.131683,0.0,0.0
84,169.0,61.357548,0.0,0.0
85,171.0,61.586502,0.0,0.0
86,173.0,61.702164,0.0,0.0
87,175.0,61.81863,0.0,0.0
88,177.0,62.05402,0.0,0.0
89,179.0,62.292747,0.0,0.0
90,181.0,62.4134,0.0,0.0
91,183.0,62.657337,0.0,0.0
92,185.0,62.780643,0.0,0.0
93,187.0,63.03,0.0,0.0
94,189.0,62.90486,0.0,0.0
95,191.0,63.283104,0.0,0.0
96,193.0,63.411095,0.0,0.0
97,195.0,63.54007,0.0,0.0
98,197.0,63.933,0.0,0.0
99,199.0,63.933,0.0,0.0
100,201.0,64.3353,0.0,0.0
101,203.0,64.3353,0.0,0.0
102,205.0,64.60892,0.0,0.0
103,207.0,64.887024,0.0,0.0
104,209.0,65.02782,0.0,0.0
105,211.0,65.02782,0.0,0.0
106,213.0,65.31295,0.0,0.0
107,215.0,65.45734,0.0,0.0
108,217.0,65.60296,0.0,0.0
109,219.0,65.89802,0.0,0.0
110,221.0,65.89802,0.0,0.0
111,223.0,66.19828,0.0,0.0
112,225.0,66.50395,0.0,0.0
113,227.0,66.8152,0.0,0.0
114,229.0,66.8152,0.0,0.0
115,231.0,66.97299,0.0,0.0
116,233.0,67.13226,0.0,0.0
117,235.0,67.29302,0.0,0.0
118,237.0,67.455315,0.0,0.0
119,239.0,67.61917,0.0,0.0
120,241.0,67.95168,0.0,0.0
121,243.0,67.95168,0.0,0.0
122,245.0,68.12039,0.0,0.0
123,247.0,68.29079,0.0,0.0
124,249.0,68.63676,0.0,0.0
125,251.0,68.81241,0.0,0.0
126,253.0,68.98987,0.0,0.0
127,255.0,69.1692,0.0,0.0
128,257.0,69.1692,0.0,0.0
129,259.0,69.53358,0.0,0.0
130,261.0,69.90587,0.0,0.0
131,263.0,69.71872,0.0,0.0
132,265.0,69.90587,0.0,0.0
133,267.0,70.0951,0.0,0.0
134,269.0,70.28642,0.0,0.0
135,271.0,70.47991,0.0,0.0
136,273.0,70.6756,0.0,0.0
137,275.0,70.87355,0.0,0.0
138,277.0,71.0738,0.0,0.0
139,279.0,71.27641,0.0,0.0
140,281.0,71.48142,0.0,0.0
141,283.0,71.48142,0.0,0.0
142,285.0,72.11156,0.0,0.0
143,287.0,72.11156,0.0,0.0
144,289.0,72.32682,0.0,0.0
145,291.0,72.32682,0.0,0.0
146,293.0,72.7656,0.0,0.0
147,295.0,72.7656,0.0,0.0
148,297.0,72.989235,0.0,0.0
149,299.0,73.21581,0.0,0.0
150,301.0,72.989235,0.0,0.0
151,303.0,73.21581,0.0,0.0
152,305.0,73.678085,0.0,0.0
153,307.0,73.91393,0.0,0.0
154,309.0,74.153046,0.0,0.0
155,311.0,74.64142,0.0,0.0
156,313.0,74.395515,0.0,0.0
157,315.0,74.395515,0.0,0.0
158,317.0,74.395515,0.0,0.0
159,319.0,74.890854,0.0,0.0
160,321.0,74.890854,0.0,0.0
161,323.0,75.400795,0.0,0.0
162,325.0,75.66151,0.0,0.0
163,327.0,75.66151,0.0,0.0
164,329.0,75.66151,0.0,0.0
165,331.0,76.19497,0.0,0.0
166,333.0,76.19497,0.0,0.0
167,335.0,76.19497,0.0,0.0
168,337.0,76.19497,0.0,0.0
169,339.0,76.467964,0.0,0.0
170,341.0,76.467964,0.0,0.0
171,343.0,76.74533,0.0,0.0
172,345.0,76.74533,0.0,0.0
173,347.0,77.0272,0.0,0.0
174,349.0,77.313705,0.0,0.0
175,351.0,77.313705,0.0,0.0
176,353.0,77.60503,0.0,0.0
177,355.0,77.60503,0.0,0.0
178,357.0,78.20269,0.0,0.0
179,359.0,78.20269,0.0,0.0
180,361.0,78.50939,0.0,0.0
181,363.0,78.50939,0.0,0.0
182,365.0,78.50939,0.0,0.0
183,367.0,78.821594,0.0,0.0
184,369.0,78.821594,0.0,0.0
185,371.0,79.139496,0.0,0.0
186,373.0,79.139496,0.0,0.0
187,375.0,79.4633,0.0,0.0
188,377.0,79.4633,0.0,0.0
189,379.0,79.79323,0.0,0.0
190,381.0,80.12951,0.0,0.0
191,383.0,80.12951,0.0,0.0
192,385.0,80.12951,0.0,0.0
193,387.0,80.12951,0.0,0.0
194,389.0,81.179054,0.0,0.0
195,391.0,81.179054,0.0,0.0
196,393.0,81.179054,0.0,0.0
197,395.0,81.179054,0.0,0.0
198,397.0,81.54338,0.0,0.0
199,399.0,81.91547,0.0,0.0
